time_ms,servo_deg,dist_cm
8999,30.00,2.25
9019,30.00,4.48
9039,30.00,6.70
9059,44.06,8.84
9079,96.06,11.07
9099,147.66,11.04
9119,194.45,11.04
9139,232.41,10.97
9159,258.22,10.88
9179,269.57,10.72
9199,265.40,10.56
9219,245.98,10.32
9239,212.89,10.16
9259,168.97,10.01
9279,118.01,9.94
9299,64.47,9.87
9319,30.00,9.87
9339,30.00,9.79
9359,30.00,9.88
9379,30.00,9.79
9399,30.00,9.79
9419,30.00,9.80
9439,30.00,9.89
9459,30.00,9.90
9479,39.46,10.07
9499,93.62,10.14
9519,147.55,10.20
9539,196.24,10.26
9559,235.14,10.33
9579,260.54,10.31
9600,270.00,10.30
9620,261.64,10.31
9640,237.02,10.24
9660,198.38,10.08
9680,149.32,9.93
9700,94.50,9.78
9720,39.12,9.71
9740,30.00,9.91
9760,30.00,10.18
9780,30.00,10.54
9800,30.00,10.90
9820,30.00,11.26
9840,30.00,11.44
9860,30.00,11.80
9880,30.00,11.98
9900,85.73,12.17
9920,142.15,12.17
9940,193.45,12.17
9960,234.42,12.17
9980,260.85,12.17
10000,270.00,12.18
10020,260.82,12.38
10040,234.15,12.33
10060,192.63,12.00
10080,140.45,11.59
10100,82.96,11.21
10120,30.00,10.98
10140,30.00,11.25
10160,30.00,11.72
10180,30.00,12.56
10200,30.00,13.09
10220,30.00,13.38
10240,30.00,13.43
10260,30.00,13.28
10280,60.28,13.18
10300,119.30,17.57
10320,175.27,17.66
10340,222.11,17.72
10360,254.69,17.72
10380,269.37,17.41
10400,264.46,12.78
10420,240.38,12.46
10440,199.68,12.08
10460,146.78,11.76
10480,87.48,11.49
10500,30.00,11.45
10520,30.00,11.20
10540,30.00,11.01
10560,30.00,10.95
10580,30.00,10.90
10600,30.00,10.78
10620,30.00,10.95
10640,30.00,11.23
10660,74.59,11.69
10680,135.47,12.23
10700,191.20,12.71
10720,235.29,13.19
10740,262.56,13.64
10760,269.73,13.96
10780,255.85,14.22
10800,222.45,14.39
10820,173.36,14.39
10840,114.31,14.33
10860,52.28,14.34
10880,30.00,13.98
10900,30.00,13.76
10920,30.00,13.60
10940,30.00,13.41
10960,30.00,13.15
10980,30.00,17.44
11000,30.00,21.69
11020,65.70,22.02
11040,128.71,22.28
11060,187.06,22.09
11080,233.52,18.03
11100,262.28,13.92
11120,269.67,14.00
11140,254.65,13.90
11160,219.00,14.27
11180,167.08,14.06
11200,105.36,13.75
11220,41.60,13.10
11240,30.00,12.64
11260,30.00,11.91
11280,30.00,11.39
11300,30.00,11.10
11320,30.00,10.94
11340,30.00,10.84
11360,30.00,10.95
11380,92.59,11.07
11400,156.37,11.12
11420,211.57,11.12
11440,250.90,11.14
11460,269.10,11.11
11480,263.67,11.09
11500,235.21,11.04
11520,187.38,10.97
11540,126.48,10.96
11560,60.59,11.08
11580,30.00,11.38
11600,30.00,11.54
11620,30.00,11.72
11640,30.00,11.84
11660,30.00,11.81
11680,30.00,11.61
11700,30.00,11.55
11720,88.20,11.46
11740,154.03,11.33
11760,211.11,11.26
11780,251.46,11.20
11800,269.39,11.17
11820,262.28,11.17
11840,231.02,11.39
11860,179.87,11.81
11880,115.96,16.44
11900,48.28,21.00
11920,30.00,25.47
11940,30.00,25.66
11960,30.00,25.52
11980,30.00,21.13
12000,30.00,16.72
12020,30.00,12.38
12040,47.21,12.17
12060,115.75,12.02
12080,180.64,12.01
12100,232.38,11.96
12120,263.34,11.89
12140,268.85,11.79
12160,247.99,11.90
12180,203.71,11.85
12200,142.49,12.35
12220,73.36,14.32
12240,30.00,18.97
12260,30.00,23.27
12280,30.00,27.63
12300,30.00,31.59
12320,30.00,34.10
12340,30.00,34.01
12360,34.67,34.10
12380,104.57,34.37
12400,172.32,30.15
12420,227.54,25.94
12440,261.64,21.50
12460,269.27,17.02
12480,249.12,12.28
12500,204.19,12.13
12520,141.38,11.95
12540,70.45,12.02
12560,30.00,12.20
12580,30.00,12.72
12600,30.00,13.05
12620,30.00,13.49
12640,30.00,13.69
12660,30.00,13.69
12680,49.46,13.34
12700,121.53,13.19
12720,188.64,12.75
12740,239.94,12.46
12760,267.05,12.31
12780,265.48,12.24
12800,235.35,12.13
12820,181.46,12.31
12840,112.52,12.77
12860,39.78,14.52
12880,30.00,14.94
12900,30.00,16.95
12920,30.00,17.13
12940,30.00,16.85
12960,30.00,15.24
12980,30.00,14.72
13000,92.83,12.53
13020,164.84,12.08
13040,224.34,11.84
13060,261.21,11.57
13080,269.08,11.56
13100,246.51,11.57
13120,197.20,11.66
13140,129.48,11.63
13160,54.90,11.65
13180,30.00,11.74
13200,30.00,11.72
13220,30.00,11.64
13240,30.00,11.67
13260,30.00,11.82
13280,30.00,11.73
13300,88.90,11.93
