time_s,servo_deg,dist_cm
0,30,1.64
0.02,30,3.17
0.04,30,4.7
0.06,44.06,6.23
0.08,96.06,7.76
0.1,147.66,7.65
0.12,194.45,7.65
0.14,232.41,7.65
0.16,258.22,7.66
0.18,269.57,7.67
0.2,265.4,7.6
0.22,245.98,7.54
0.24,212.89,7.39
0.26,168.97,7.24
0.28,118.01,7.01
0.3,64.47,6.86
0.32,30,6.63
0.34,30,6.47
0.36,30,6.31
0.38,30,6.23
0.4,30,6.15
0.42,30,6.15
0.44,30,6.15
0.46,30,6.23
0.48,39.46,6.31
0.5,93.62,6.39
0.52,147.55,6.55
0.54,196.24,6.7
0.56,235.14,6.78
0.58,260.54,6.85
0.601,270,6.85
0.621,261.64,6.7
0.641,237.02,6.63
0.661,198.38,6.49
0.681,149.32,6.52
0.701,94.5,6.72
0.721,39.12,7.18
0.741,30,7.64
0.761,30,8.1
0.781,30,8.48
0.801,30,8.67
0.821,30,8.69
0.841,30,8.61
0.861,30,8.62
0.881,30,8.53
0.901,85.73,8.61
0.921,142.15,8.69
0.941,193.45,8.78
0.961,234.42,8.87
0.981,260.85,8.87
1.001,270,8.8
1.021,260.82,8.56
1.041,234.15,8.25
1.061,192.63,7.85
1.081,140.45,7.55
1.101,82.96,7.33
1.121,30,7.46
1.141,30,7.84
1.161,30,8.31
1.181,30,8.78
1.201,30,9.15
1.221,30,9.27
1.241,30,9.13
1.261,30,9.08
1.281,60.28,8.92
1.301,119.3,8.95
1.321,175.27,8.87
1.341,222.11,8.79
1.361,254.69,8.71
1.381,269.37,8.63
1.401,264.46,8.29
1.421,240.38,8.05
1.441,199.68,7.9
1.461,146.78,7.66
1.481,87.48,7.6
1.501,30,7.53
1.521,30,7.64
1.541,30,7.82
1.561,30,8.09
1.581,30,8.17
1.601,30,8.26
1.621,30,8.26
1.641,30,8.18
1.661,74.59,7.91
1.681,135.47,7.73
1.701,191.2,7.71
1.721,235.29,7.69
1.741,262.56,7.67
1.761,269.73,7.67
1.781,255.85,7.67
1.801,222.45,7.59
1.821,173.36,7.61
1.841,114.31,7.63
1.861,52.28,7.82
1.881,30,8.09
1.901,30,8.54
1.921,30,8.81
1.941,30,9.17
1.961,30,9.25
1.981,30,9.16
2.001,30,8.9
2.021,65.7,8.63
2.041,128.71,8.18
2.061,187.06,7.91
2.081,233.52,7.72
2.101,262.28,7.54
2.121,269.67,7.54
2.141,254.65,7.64
2.161,219,7.9
2.181,167.08,8.27
2.201,105.36,8.8
2.221,41.6,9.26
2.241,30,9.63
2.261,30,9.75
2.281,30,9.86
2.301,30,9.72
2.321,30,9.57
2.341,30,9.5
2.361,30,9.51
2.381,92.59,9.42
2.401,156.37,9.42
2.421,211.57,9.41
2.441,250.9,9.42
2.461,269.1,9.33
2.481,263.67,9.26
2.501,235.21,9.03
2.521,187.38,8.71
2.541,126.48,8.39
2.561,60.59,8.16
2.581,30,8.02
2.601,30,8.04
2.621,30,8.24
2.641,30,8.52
2.661,30,8.9
2.681,30,9.18
2.701,30,9.47
2.721,88.2,9.66
2.741,154.03,9.77
2.761,211.11,9.78
2.781,251.46,9.78
2.801,269.39,9.79
2.821,262.28,9.71
2.841,231.02,9.64
2.861,179.87,9.48
2.881,115.96,9.34
2.901,48.28,9.11
2.921,30,8.96
2.941,30,8.8
2.961,30,8.65
2.981,30,8.49
3.001,30,8.42
3.021,30,8.43
3.041,47.21,8.37
3.061,115.75,8.38
3.081,180.64,8.37
3.101,232.38,8.37
3.121,263.34,8.2
3.141,268.85,8.11
3.161,247.99,8.11
3.181,203.71,8.2
3.201,142.49,8.21
3.221,73.36,8.3
3.241,30,8.49
3.261,30,8.59
3.281,30,8.5
3.301,30,8.59
3.321,30,8.58
3.341,30,8.39
3.361,34.67,8.3
3.381,104.57,8.38
3.401,172.32,8.27
3.421,227.54,8.35
3.441,261.64,8.5
3.461,269.27,8.66
3.481,249.12,8.64
3.501,204.19,8.73
3.521,141.38,8.73
