time_s,servo_deg,dist_cm
0,30,2.25
0.02,30,4.48
0.04,30,6.7
0.06,44.06,8.84
0.08,96.06,11.07
0.1,147.66,11.04
0.12,194.45,11.04
0.14,232.41,10.97
0.16,258.22,10.88
0.18,269.57,10.72
0.2,265.4,10.56
0.22,245.98,10.32
0.24,212.89,10.16
0.26,168.97,10.01
0.28,118.01,9.94
0.3,64.47,9.87
0.32,30,9.87
0.34,30,9.79
0.36,30,9.88
0.38,30,9.79
0.4,30,9.79
0.42,30,9.8
0.44,30,9.89
0.46,30,9.9
0.48,39.46,10.07
0.5,93.62,10.14
0.52,147.55,10.2
0.54,196.24,10.26
0.56,235.14,10.33
0.58,260.54,10.31
0.601,270,10.3
0.621,261.64,10.31
0.641,237.02,10.24
0.661,198.38,10.08
0.681,149.32,9.93
0.701,94.5,9.78
0.721,39.12,9.71
0.741,30,9.91
0.761,30,10.18
0.781,30,10.54
0.801,30,10.9
0.821,30,11.26
0.841,30,11.44
0.861,30,11.8
0.881,30,11.98
0.901,85.73,12.17
0.921,142.15,12.17
0.941,193.45,12.17
0.961,234.42,12.17
0.981,260.85,12.17
1.001,270,12.18
1.021,260.82,12.38
1.041,234.15,12.33
1.061,192.63,12
1.081,140.45,11.59
1.101,82.96,11.21
1.121,30,10.98
1.141,30,11.25
1.161,30,11.72
1.181,30,12.56
1.201,30,13.09
1.221,30,13.38
1.241,30,13.43
1.261,30,13.28
1.281,60.28,13.18
1.301,119.3,17.57
1.321,175.27,17.66
1.341,222.11,17.72
1.361,254.69,17.72
1.381,269.37,17.41
1.401,264.46,12.78
1.421,240.38,12.46
1.441,199.68,12.08
1.461,146.78,11.76
1.481,87.48,11.49
1.501,30,11.45
1.521,30,11.2
1.541,30,11.01
1.561,30,10.95
1.581,30,10.9
1.601,30,10.78
1.621,30,10.95
1.641,30,11.23
1.661,74.59,11.69
1.681,135.47,12.23
1.701,191.2,12.71
1.721,235.29,13.19
1.741,262.56,13.64
1.761,269.73,13.96
1.781,255.85,14.22
1.801,222.45,14.39
1.821,173.36,14.39
1.841,114.31,14.33
1.861,52.28,14.34
1.881,30,13.98
1.901,30,13.76
1.921,30,13.6
1.941,30,13.41
1.961,30,13.15
1.981,30,17.44
2.001,30,21.69
2.021,65.7,22.02
2.041,128.71,22.28
2.061,187.06,22.09
2.081,233.52,18.03
2.101,262.28,13.92
2.121,269.67,14
2.141,254.65,13.9
2.161,219,14.27
2.181,167.08,14.06
2.201,105.36,13.75
2.221,41.6,13.1
2.241,30,12.64
2.261,30,11.91
2.281,30,11.39
2.301,30,11.1
2.321,30,10.94
2.341,30,10.84
2.361,30,10.95
2.381,92.59,11.07
2.401,156.37,11.12
2.421,211.57,11.12
2.441,250.9,11.14
2.461,269.1,11.11
2.481,263.67,11.09
2.501,235.21,11.04
2.521,187.38,10.97
2.541,126.48,10.96
2.561,60.59,11.08
2.581,30,11.38
2.601,30,11.54
2.621,30,11.72
2.641,30,11.84
2.661,30,11.81
2.681,30,11.61
2.701,30,11.55
2.721,88.2,11.46
2.741,154.03,11.33
2.761,211.11,11.26
2.781,251.46,11.2
2.801,269.39,11.17
2.821,262.28,11.17
2.841,231.02,11.39
2.861,179.87,11.81
2.881,115.96,16.44
2.901,48.28,21
2.921,30,25.47
2.941,30,25.66
2.961,30,25.52
2.981,30,21.13
3.001,30,16.72
3.021,30,12.38
3.041,47.21,12.17
3.061,115.75,12.02
3.081,180.64,12.01
3.101,232.38,11.96
3.121,263.34,11.89
3.141,268.85,11.79
3.161,247.99,11.9
3.181,203.71,11.85
3.201,142.49,12.35
3.221,73.36,14.32
3.241,30,18.97
3.261,30,23.27
3.281,30,27.63
3.301,30,31.59
3.321,30,34.1
3.341,30,34.01
3.361,34.67,34.1
3.381,104.57,34.37
3.401,172.32,30.15
3.421,227.54,25.94
3.441,261.64,21.5
3.461,269.27,17.02
3.481,249.12,12.28
3.501,204.19,12.13
3.521,141.38,11.95
3.541,70.45,12.02
3.561,30,12.2
3.581,30,12.72
3.601,30,13.05
3.621,30,13.49
3.641,30,13.69
3.661,30,13.69
3.681,49.46,13.34
3.701,121.53,13.19
3.721,188.64,12.75
3.741,239.94,12.46
3.761,267.05,12.31
3.781,265.48,12.24
3.801,235.35,12.13
3.821,181.46,12.31
3.841,112.52,12.77
3.861,39.78,14.52
3.881,30,14.94
3.901,30,16.95
3.921,30,17.13
3.941,30,16.85
3.961,30,15.24
3.981,30,14.72
4.001,92.83,12.53
4.021,164.84,12.08
4.041,224.34,11.84
4.061,261.21,11.57
4.081,269.08,11.56
4.101,246.51,11.57
4.121,197.2,11.66
4.141,129.48,11.63
4.161,54.9,11.65
4.181,30,11.74
4.201,30,11.72
4.221,30,11.64
4.241,30,11.67
4.261,30,11.82
4.281,30,11.73
4.301,88.9,11.93
4.321,162.78,11.93
4.341,223.94,12
4.361,261.53,11.94
4.381,268.79,12.04
4.401,244.3,11.92
4.421,192.29,12.11
4.441,121.93,12.49
4.461,45.76,17.2
4.481,30,22.02
4.501,30,26.5
4.521,30,31.05
4.541,30,35.32
4.561,30,35.15
4.581,33.31,35.03
4.601,109.87,35.22
4.621,182.88,35.05
4.641,238.93,34.88
4.661,267.6,34.79
4.681,263.49,34.56
4.701,227.22,34.56
4.721,165.4,34.73
4.741,89.45,34.82
4.761,30,34.9
4.781,30,34.99
4.801,30,34.9
4.821,30,34.98
4.841,30,34.97
4.861,30,35.14
4.881,76.63,35.23
4.901,154.39,35.15
4.921,219.96,34.89
