time_ms,servo_deg,dist_cm
14780,269.48,19.12
14800,256.34,19.12
14820,207.36,19.01
14840,132.97,19.01
14861,45.08,19.00
14881,30.00,19.27
14901,30.00,19.27
14921,30.00,19.38
14941,30.00,19.55
14961,30.00,19.55
14981,79.62,19.38
15001,162.81,19.29
15021,230.00,19.18
15041,266.26,19.09
15062,262.20,19.01
15082,218.97,18.83
15104,138.67,18.92
15124,53.52,18.94
15144,30.00,19.04
15164,30.00,19.04
15184,30.00,19.21
15204,30.00,19.21
15224,30.00,19.27
15244,79.71,19.18
15264,164.22,19.18
15284,231.87,19.09
15304,267.11,19.00
15325,260.36,18.86
15345,213.67,18.78
15366,134.15,18.85
15387,43.29,18.86
15407,30.00,18.95
15427,30.00,19.04
15447,30.00,19.10
15467,30.00,19.11
15488,30.00,19.26
15508,103.35,19.35
15528,186.31,19.26
15548,246.63,19.19
15568,269.95,19.11
15589,248.56,18.87
15609,189.38,18.70
15630,102.01,18.79
15651,30.00,18.87
15671,30.00,19.04
15691,30.00,19.21
15711,30.00,19.27
15731,30.00,19.27
15751,52.52,19.33
15771,141.14,19.25
15791,217.42,19.16
15811,262.73,19.18
15832,264.87,19.18
15853,219.88,19.06
15874,139.76,19.01
15894,50.45,19.01
15915,30.00,19.11
15935,30.00,18.97
15955,30.00,18.94
15975,30.00,19.03
15995,30.00,19.12
16015,112.93,19.02
16035,196.58,19.10
16055,253.57,19.18
16075,269.47,19.10
16096,237.56,18.96
16117,164.56,18.96
16138,70.70,19.01
16158,30.00,19.01
16178,30.00,19.04
16198,30.00,19.17
16218,30.00,19.14
16238,30.00,19.23
16258,96.01,19.23
16278,183.60,19.17
16299,249.31,19.00
16319,269.92,19.03
16339,243.85,18.86
16359,177.74,18.78
16380,84.02,18.84
16400,30.00,18.84
16420,30.00,18.99
16440,30.00,19.07
16460,30.00,19.24
16480,30.00,19.27
16500,90.71,19.35
16520,180.19,19.20
16540,245.81,19.12
16560,270.00,19.03
16581,243.79,19.02
16602,172.29,19.19
16622,81.14,19.19
16643,30.00,19.26
16663,30.00,19.25
16683,30.00,19.24
16703,30.00,19.06
16723,30.00,19.07
16743,106.36,19.01
16763,194.49,18.93
16783,254.18,18.86
16803,268.97,18.78
16824,231.77,18.78
16845,151.64,18.76
16866,52.74,18.76
16886,30.00,18.81
16906,30.00,18.90
16926,30.00,18.90
16946,30.00,18.92
16966,42.65,19.18
16986,137.84,19.39
17006,219.73,19.30
17026,265.28,19.22
17047,260.03,19.20
17068,202.02,18.94
17088,113.94,18.68
17110,30.00,18.74
17130,30.00,18.83
17150,30.00,18.90
17170,30.00,19.07
17190,30.00,19.16
17210,94.01,19.18
17230,186.39,19.10
17250,251.10,19.04
17270,269.40,18.87
17290,235.85,18.78
17311,155.46,18.76
17332,54.07,18.84
17352,30.00,19.07
17372,30.00,19.07
17392,30.00,19.24
17412,30.00,19.26
17432,53.87,19.44
17452,151.30,19.20
17472,230.74,19.20
17492,268.66,19.04
17513,251.55,18.95
17533,185.92,18.72
17554,86.70,18.81
17574,30.00,18.94
17594,30.00,18.97
17614,30.00,18.98
17634,30.00,19.07
17654,30.00,19.03
17674,126.79,19.10
17694,214.38,19.11
17715,265.57,19.10
17735,259.94,18.97
17756,198.65,18.97
17777,100.89,18.83
17798,30.00,18.79
17818,30.00,18.79
17838,30.00,18.87
17858,30.00,19.01
17878,30.00,18.94
17898,125.13,18.95
17918,214.04,19.04
17938,264.58,19.04
17958,260.91,18.95
17980,195.94,19.04
18000,101.30,19.04
18021,30.00,19.03
18041,30.00,19.19
18061,30.00,19.19
18081,30.00,19.16
18101,30.90,19.24
18121,132.03,19.24
18141,219.93,19.01
18161,266.66,18.92
18183,253.14,18.95
18203,185.90,18.95
18224,82.77,18.95
18244,30.00,19.01
18264,30.00,19.10
18284,30.00,19.07
18304,30.00,19.07
18324,49.74,19.25
18344,151.97,19.18
18364,234.20,19.18
18384,269.64,19.21
18405,243.98,19.21
18425,167.79,19.03
18447,55.77,19.11
18467,30.00,19.12
18487,30.00,21.10
18507,30.00,21.02
18527,30.00,21.10
18547,82.80,21.08
18567,183.13,21.07
18587,252.66,19.09
18607,268.17,19.09
18627,224.32,19.00
18649,125.29,18.94
18669,30.00,18.94
18689,30.00,18.94
18709,30.00,18.92
18729,30.00,18.92
18749,30.00,18.90
18769,124.43,18.82
18789,217.00,18.73
18809,266.55,18.76
18831,251.69,18.75
18851,179.94,18.86
18872,72.09,18.86
18892,30.00,18.94
18912,30.00,19.03
18932,30.00,19.03
18952,30.00,19.03
18972,78.09,19.20
18992,181.11,19.20
19012,252.66,19.18
19033,266.90,19.09
19053,217.39,19.09
19074,118.12,18.86
19095,30.00,18.73
19115,30.00,18.57
19135,30.00,18.56
19155,30.00,18.43
19175,43.46,18.39
19195,150.31,18.70
19215,235.95,18.72
19235,269.96,18.74
19256,237.07,18.79
19276,151.81,18.83
19298,33.98,18.56
19318,30.00,18.55
19338,30.00,18.64
19358,30.00,18.72
19378,30.00,18.86
19398,128.60,18.95
19418,222.37,19.18
19438,268.39,19.16
19459,247.27,19.16
19479,168.42,19.07
19501,50.18,18.99
19521,30.00,19.02
19542,30.00,19.04
19562,30.00,18.88
19582,30.00,18.96
19602,123.06,18.96
19622,219.27,18.78
19642,267.91,18.78
19662,250.89,18.86
19682,174.34,18.78
19703,60.95,18.84
19723,30.00,18.84
19743,30.00,18.84
19763,30.00,19.01
19783,30.00,19.18
19803,112.29,19.29
19823,212.26,19.29
19844,267.41,19.29
19864,251.76,19.20
19885,170.08,19.13
19906,55.06,19.02
19926,30.00,19.10
19946,30.00,19.33
19966,30.00,19.50
19986,30.00,19.49
