time_ms,servo_deg,dist_cm
8999,30.00,3.95
9019,30.00,7.72
9039,30.00,11.49
9059,44.06,15.26
9079,96.06,19.11
9099,147.66,19.01
9119,194.45,19.01
9139,232.41,19.27
9159,258.22,19.61
9179,269.57,19.87
9199,265.40,23.13
9219,245.98,26.52
9239,212.89,29.68
9259,168.97,32.81
9279,118.01,35.90
9299,64.47,35.82
9319,30.00,35.51
9339,30.00,35.26
9359,30.00,32.28
9379,30.00,28.94
9399,30.00,25.60
9419,30.00,22.43
9439,30.00,19.10
9459,30.00,18.33
9479,39.46,17.99
9499,93.62,17.90
9519,147.55,17.81
9539,196.24,17.88
9559,235.14,18.05
9579,260.54,18.12
9600,270.00,18.03
9620,261.64,17.95
9640,237.02,17.70
9660,198.38,17.63
9680,149.32,17.64
9700,94.50,17.99
9720,39.12,21.60
9740,30.00,24.86
9760,30.00,25.36
9780,30.00,25.61
9800,30.00,25.51
9820,30.00,22.41
9840,30.00,22.74
9860,30.00,25.42
9880,30.00,28.52
9900,85.73,31.62
9920,142.15,34.46
9940,193.45,34.46
9960,234.42,34.68
9980,260.85,34.75
10000,270.00,34.80
10020,260.82,34.95
10040,234.15,34.74
10060,192.63,34.55
10080,140.45,31.35
10100,82.96,28.07
10120,30.00,24.90
10140,30.00,21.57
10160,30.00,18.25
10180,30.00,17.91
10200,30.00,17.75
10220,30.00,17.49
10240,30.00,17.57
10260,30.00,17.74
10280,60.28,17.99
10300,119.30,18.40
10320,175.27,18.74
10340,222.11,19.09
10360,254.69,19.34
10380,269.37,19.43
10400,264.46,19.28
10420,240.38,19.12
10440,199.68,18.87
10460,146.78,18.53
10480,87.48,18.19
10500,30.00,18.02
10520,30.00,17.85
10540,30.00,17.76
10560,30.00,17.75
10580,30.00,17.74
10600,30.00,17.74
10620,30.00,17.91
10640,30.00,18.16
10660,74.59,21.49
10680,135.47,24.98
10700,191.20,28.39
10720,235.29,31.71
10740,262.56,35.03
10760,269.73,35.11
10780,255.85,35.03
10800,222.45,31.97
10820,173.36,28.55
10840,114.31,25.06
10860,52.28,21.67
10880,30.00,18.35
10900,30.00,18.42
10920,30.00,21.75
10940,30.00,24.98
10960,30.00,28.32
10980,30.00,31.65
11000,30.00,34.56
11020,65.70,34.56
11040,128.71,34.47
11060,187.06,34.44
11080,233.52,34.43
11100,262.28,34.34
11120,269.67,31.10
11140,254.65,27.86
11160,219.00,24.55
11180,167.08,21.32
11200,105.36,21.41
11220,41.60,21.50
11240,30.00,21.51
11260,30.00,21.51
11280,30.00,24.83
11300,30.00,24.74
11320,30.00,24.65
11340,30.00,24.74
11360,30.00,24.82
11380,92.59,21.76
11400,156.37,21.85
11420,211.57,24.93
11440,250.90,25.10
11460,269.10,25.09
11480,263.67,24.83
11500,235.21,21.83
11520,187.38,21.83
11540,126.48,24.65
11560,60.59,24.83
11580,30.00,25.00
11600,30.00,24.67
11620,30.00,21.60
11640,30.00,18.70
11660,30.00,18.62
11680,30.00,18.70
11700,30.00,22.21
11720,88.20,22.47
11740,154.03,22.72
11760,211.11,22.90
11780,251.46,22.91
11800,269.39,19.84
11820,262.28,19.75
11840,231.02,19.67
11860,179.87,19.67
11880,115.96,19.67
11900,48.28,19.55
11920,30.00,22.97
11940,30.00,22.79
11960,30.00,22.61
11980,30.00,22.35
12000,30.00,22.21
12020,30.00,18.62
12040,47.21,18.54
12060,115.75,18.53
12080,180.64,18.61
12100,232.38,18.61
12120,263.34,18.60
12140,268.85,18.69
12160,247.99,18.61
12180,203.71,18.53
12200,142.49,18.45
12220,73.36,18.36
12240,30.00,18.28
12260,30.00,18.27
12280,30.00,18.36
12300,30.00,18.35
12320,30.00,18.34
12340,30.00,18.34
12360,34.67,18.43
12380,104.57,18.43
12400,172.32,18.60
12420,227.54,18.85
12440,261.64,19.12
12460,269.27,19.36
12480,249.12,22.26
12500,204.19,25.07
12520,141.38,27.72
12540,70.45,30.46
12560,30.00,33.39
12580,30.00,33.39
12600,30.00,33.48
12620,30.00,33.90
12640,30.00,34.14
12660,30.00,34.45
12680,49.46,31.72
12700,121.53,28.66
12720,188.64,25.34
12740,239.94,22.11
12760,267.05,18.54
12780,265.48,18.28
12800,235.35,18.28
12820,181.46,18.28
12840,112.52,18.28
12860,39.78,18.45
12880,30.00,18.46
12900,30.00,18.54
12920,30.00,18.63
12940,30.00,18.63
12960,30.00,18.43
12980,30.00,18.43
13000,92.83,18.34
13020,164.84,18.25
13040,224.34,18.25
13060,261.21,18.28
13080,269.08,18.28
13100,246.51,18.28
13120,197.20,18.27
13140,129.48,18.18
13160,54.90,18.16
13180,30.00,18.25
13200,30.00,18.24
13220,30.00,18.33
13240,30.00,18.50
13260,30.00,18.53
13280,30.00,18.44
13300,88.90,18.44
13320,162.78,18.37
13340,223.94,18.28
13360,261.53,18.25
13380,268.79,18.25
13400,244.30,18.34
13420,192.29,18.77
13440,121.93,22.16
13460,45.76,25.42
13480,30.00,28.90
13500,30.00,29.21
13520,30.00,29.20
13540,30.00,26.30
13560,30.00,23.47
13580,33.31,20.49
13600,109.87,20.43
13620,182.88,20.18
13640,238.93,19.75
13660,267.60,19.43
13680,263.49,18.91
13700,227.22,18.57
13720,165.40,18.40
13740,89.45,18.41
13760,30.00,18.39
13780,30.00,18.40
13800,30.00,18.49
13820,30.00,18.67
13840,30.00,18.76
13860,30.00,18.96
13880,76.63,19.31
13900,154.39,19.31
13920,219.96,19.30
