time_ms,servo_deg,dist_cm
8999,30.00,3.94
9019,30.00,7.70
9039,30.00,11.55
9059,44.06,15.49
9079,96.06,19.34
9099,147.66,19.17
9119,194.45,19.26
9139,232.41,19.26
9159,258.22,19.17
9179,269.57,19.17
9199,265.40,19.17
9219,245.98,19.08
9239,212.89,19.08
9259,168.97,19.08
9279,118.01,19.17
9299,64.47,19.34
9319,30.00,19.43
9339,30.00,19.51
9359,30.00,19.52
9379,30.00,19.51
9399,30.00,19.43
9419,30.00,19.43
9439,30.00,19.51
9459,30.00,19.60
9479,39.46,19.52
9499,93.62,19.52
9519,147.55,19.44
9539,196.24,19.26
9559,235.14,19.08
9579,260.54,19.00
9600,270.00,19.00
9620,261.64,19.08
9640,237.02,19.00
9660,198.38,19.00
9680,149.32,19.00
9700,94.50,18.92
9720,39.12,19.18
9740,30.00,19.17
9760,30.00,19.34
9780,30.00,19.51
9800,30.00,19.68
9820,30.00,19.42
9840,30.00,19.51
9860,30.00,19.60
9880,30.00,19.60
9900,85.73,19.51
9920,142.15,19.43
9940,193.45,19.43
9960,234.42,19.26
9980,260.85,19.17
10000,270.00,19.17
10020,260.82,19.26
10040,234.15,19.23
10060,192.63,19.20
10080,140.45,19.17
10100,82.96,19.14
10120,30.00,19.19
10140,30.00,19.11
10160,30.00,19.07
10180,30.00,19.16
10200,30.00,19.25
10220,30.00,19.16
10240,30.00,19.25
10260,30.00,19.46
10280,60.28,19.46
10300,119.30,19.46
10320,175.27,19.47
10340,222.11,19.46
10360,254.69,19.26
10380,269.37,19.17
10400,264.46,19.00
10420,240.38,19.00
10440,199.68,19.00
10460,146.78,19.03
10480,87.48,19.03
10500,30.00,19.29
10520,30.00,19.37
10540,30.00,19.45
10560,30.00,19.42
10580,30.00,19.51
10600,30.00,19.42
10620,30.00,19.33
10640,30.00,19.25
10660,74.59,19.37
10680,135.47,19.29
10700,191.20,19.20
10720,235.29,19.20
10740,262.56,19.21
10760,269.73,19.09
10780,255.85,19.10
10800,222.45,19.10
10820,173.36,19.18
10840,114.31,19.18
10860,52.28,19.21
10880,30.00,19.12
10900,30.00,19.20
10920,30.00,18.94
10940,30.00,19.02
10960,30.00,18.93
10980,30.00,19.02
11000,30.00,18.93
11020,65.70,19.28
11040,128.71,19.12
11060,187.06,19.21
11080,233.52,19.21
11100,262.28,19.21
11120,269.67,19.04
11140,254.65,19.12
11160,219.00,19.09
11180,167.08,19.09
11200,105.36,19.09
11220,41.60,19.09
11240,30.00,19.17
11260,30.00,19.29
11280,30.00,19.29
11300,30.00,19.37
11320,30.00,19.46
11340,30.00,19.29
11360,30.00,19.27
11380,92.59,19.27
11400,156.37,19.11
11420,211.57,19.02
11440,250.90,19.11
11460,269.10,19.05
11480,263.67,19.04
11500,235.21,19.13
11520,187.38,19.12
11540,126.48,19.12
11560,60.59,19.09
11580,30.00,19.44
11600,30.00,19.43
11620,30.00,19.60
11640,30.00,19.77
11660,30.00,19.88
11680,30.00,19.53
11700,30.00,19.54
11720,88.20,19.46
11740,154.03,19.29
11760,211.11,19.18
11780,251.46,19.18
11800,269.39,19.18
11820,262.28,19.10
11840,231.02,19.09
11860,179.87,19.12
11880,115.96,19.12
11900,48.28,19.11
11920,30.00,19.20
11940,30.00,19.20
11960,30.00,19.26
11980,30.00,19.26
12000,30.00,19.27
12020,30.00,19.18
12040,47.21,19.43
12060,115.75,19.37
12080,180.64,19.37
12100,232.38,19.37
12120,263.34,19.38
12140,268.85,19.12
12160,247.99,19.09
12180,203.71,19.01
12200,142.49,19.01
12220,73.36,19.01
12240,30.00,19.10
12260,30.00,19.21
12280,30.00,19.38
12300,30.00,19.47
12320,30.00,19.55
12340,30.00,19.38
12360,34.67,19.29
12380,104.57,19.30
12400,172.32,19.13
12420,227.54,18.96
12440,261.64,19.04
12460,269.27,19.05
12480,249.12,18.95
12500,204.19,18.96
12520,141.38,19.04
12540,70.45,19.04
12560,30.00,19.04
12580,30.00,19.04
12600,30.00,19.12
12620,30.00,19.18
12640,30.00,19.26
12660,30.00,19.27
12680,49.46,19.27
12700,121.53,19.18
12720,188.64,19.12
12740,239.94,19.04
12760,267.05,19.04
12780,265.48,19.04
12800,235.35,19.12
12820,181.46,19.09
12840,112.52,19.01
12860,39.78,19.01
12880,30.00,19.09
12900,30.00,19.09
12920,30.00,19.20
12940,30.00,19.29
12960,30.00,19.29
12980,30.00,19.13
13000,92.83,19.21
13020,164.84,19.02
13040,224.34,18.93
13060,261.21,18.85
13080,269.08,18.85
13100,246.51,18.68
13120,197.20,18.79
13140,129.48,18.87
13160,54.90,18.87
13180,30.00,19.30
13200,30.00,19.30
13220,30.00,19.28
13240,30.00,19.37
13260,30.00,19.53
13280,30.00,19.45
13300,88.90,19.53
13320,162.78,19.47
13340,223.94,19.39
13360,261.53,19.30
13380,268.79,19.04
13400,244.30,19.04
13420,192.29,19.09
13440,121.93,19.09
13460,45.76,19.09
13480,30.00,19.18
13500,30.00,19.18
13520,30.00,19.29
13540,30.00,19.38
13560,30.00,19.53
13580,33.31,19.53
13600,109.87,19.79
13620,182.88,19.60
13640,238.93,19.51
13660,267.60,19.37
13680,263.49,19.28
13700,227.22,18.93
13720,165.40,19.04
13740,89.45,18.95
13760,30.00,18.95
13780,30.00,18.86
13800,30.00,18.85
13820,30.00,18.91
13840,30.00,19.08
13860,30.00,19.26
13880,76.63,19.44
13900,154.39,19.44
13920,219.96,19.39
13940,260.71,19.30
13960,268.72,19.13
13980,242.31,19.04
14000,186.45,19.12
14020,111.83,19.09
14040,32.88,19.09
14060,30.00,19.00
14080,30.00,19.17
14100,30.00,19.16
14120,30.00,19.27
14140,30.00,19.27
14160,65.13,19.45
14180,144.95,19.19
14200,213.96,19.20
14220,258.39,19.09
14240,269.28,19.10
14260,244.31,19.01
14280,188.35,19.09
14300,112.53,19.09
14320,32.07,19.12
14340,30.00,19.20
14360,30.00,19.28
14380,30.00,19.45
14400,30.00,19.37
14420,30.00,19.34
14440,75.22,19.35
14460,155.97,19.18
14480,223.23,19.02
14500,263.05,19.11
14520,267.08,19.14
14540,234.33,19.04
14560,171.50,19.13
14580,91.57,19.12
14600,30.00,19.21
14620,30.00,19.09
14640,30.00,19.08
14660,30.00,19.07
14680,30.00,19.15
14700,30.00,19.06
14720,107.06,19.36
14740,185.76,19.37
14760,244.10,19.37
14780,269.48,19.29
14800,256.34,19.29
14820,207.36,19.17
14840,132.97,19.17
14861,45.08,19.18
14881,30.00,19.35
14901,30.00,19.26
14921,30.00,19.19
14941,30.00,19.11
14961,30.00,19.11
14981,79.62,18.93
15001,162.81,19.02
15021,230.00,19.01
15041,266.26,19.16
15062,262.20,19.16
15082,218.97,19.16
15104,138.67,19.24
15124,53.52,19.35
15144,30.00,19.37
15164,30.00,19.28
15184,30.00,19.27
15204,30.00,19.18
15224,30.00,19.09
15244,79.71,19.00
15264,164.22,19.08
15284,231.87,19.23
15304,267.11,19.32
15325,260.36,19.32
15345,213.67,19.49
15367,129.90,19.75
15387,43.29,19.78
15407,30.00,20.03
15427,30.00,20.03
15447,30.00,19.84
15467,30.00,19.66
15488,30.00,19.55
15508,103.35,19.39
15528,186.31,19.48
15548,246.63,19.68
15568,269.95,19.60
15589,248.56,19.54
15609,189.38,19.37
15630,102.01,19.28
15651,30.00,19.11
15671,30.00,19.11
15691,30.00,19.09
15711,30.00,19.16
15731,30.00,19.42
15751,52.52,19.48
15771,141.14,19.49
15791,217.42,19.50
15811,262.73,19.44
15833,263.75,19.18
15853,219.88,19.06
15874,139.76,19.01
15894,50.45,19.01
15915,30.00,18.95
15935,30.00,18.89
15955,30.00,18.94
15975,30.00,18.93
15995,30.00,19.11
16015,112.93,19.32
16035,196.58,19.33
16055,253.57,19.42
16075,269.47,19.43
16096,237.56,19.21
16117,164.56,19.05
16138,70.70,19.10
16158,30.00,19.02
16178,30.00,18.88
16198,30.00,18.92
16218,30.00,18.97
16238,30.00,19.06
16258,96.01,19.06
16278,183.60,19.26
16299,249.31,19.27
16319,269.92,19.21
16339,243.85,19.12
16359,177.74,19.12
16380,84.02,19.12
16400,30.00,19.12
16420,30.00,19.18
16440,30.00,19.16
16460,30.00,19.07
16480,30.00,18.98
16500,90.71,18.98
16520,180.19,18.84
16540,245.81,18.86
16560,270.00,18.95
16581,243.79,19.04
16602,172.29,19.04
16622,81.14,19.12
16643,30.00,19.09
16663,30.00,19.18
16683,30.00,19.15
16703,30.00,19.24
16723,30.00,19.32
16743,106.36,19.26
16763,194.49,19.17
16783,254.18,19.20
16803,268.97,19.12
16824,231.77,19.12
