time_ms,servo_deg,dist_cm
8999,30.00,3.87
9019,30.00,7.30
9039,30.00,10.81
9059,44.06,14.33
9079,96.06,17.94
9099,147.66,17.67
9119,194.45,18.01
9139,232.41,18.27
9159,258.22,18.53
9179,269.57,18.87
9199,265.40,19.55
9219,245.98,22.88
9239,212.89,26.12
9259,168.97,29.42
9279,118.01,32.50
9299,64.47,35.23
9319,30.00,31.96
9339,30.00,28.79
9359,30.00,25.55
9379,30.00,25.55
9399,30.00,25.55
9419,30.00,28.72
9439,30.00,31.90
9459,30.00,35.08
9479,39.46,35.09
9499,93.62,32.03
9519,147.55,28.69
9539,196.24,25.19
9559,235.14,21.52
9579,260.54,18.01
9600,270.00,17.75
9620,261.64,17.84
9640,237.02,18.67
9660,198.38,22.34
9680,149.32,25.84
9700,94.50,29.06
9720,39.12,28.96
9740,30.00,27.86
9760,30.00,24.27
9780,30.00,20.51
9800,30.00,16.86
9820,30.00,16.62
9840,30.00,16.80
9860,30.00,16.90
9880,30.00,17.25
9900,85.73,17.85
9920,142.15,18.28
9940,193.45,18.79
9960,234.42,19.63
9980,260.85,23.21
10000,270.00,26.50
10020,260.82,26.54
10040,234.15,26.08
10060,192.63,25.11
10080,140.45,21.42
10100,82.96,18.15
10120,30.00,21.64
10140,30.00,21.89
10160,30.00,22.06
10180,30.00,21.97
10200,30.00,21.57
10220,30.00,17.84
10240,30.00,17.94
10260,30.00,18.38
10280,60.28,19.06
10300,119.30,19.89
10320,175.27,20.23
10340,222.11,20.40
10360,254.69,20.39
10380,269.37,20.57
10400,264.46,20.25
10420,240.38,20.25
10440,199.68,20.25
10460,146.78,20.25
10480,87.48,19.99
10500,30.00,20.05
10520,30.00,19.88
10540,30.00,19.62
10560,30.00,19.28
10580,30.00,18.86
10600,30.00,18.37
10620,30.00,18.12
10640,30.00,17.94
10660,74.59,17.94
10680,135.47,21.58
10700,191.20,25.14
10720,235.29,28.70
10740,262.56,32.43
10760,269.73,35.91
10780,255.85,35.83
10800,222.45,35.83
10820,173.36,32.60
10840,114.31,28.86
10860,52.28,25.30
10880,30.00,21.56
10900,30.00,18.00
10920,30.00,17.59
10940,30.00,17.60
10960,30.00,17.75
10980,30.00,18.11
11000,30.00,18.46
11020,65.70,18.80
11040,128.71,18.97
11060,187.06,19.08
11080,233.52,19.17
11100,262.28,19.13
11120,269.67,19.47
11140,254.65,19.98
11160,219.00,23.27
11180,167.08,26.48
11200,105.36,29.64
11220,41.60,32.51
11240,30.00,35.21
11260,30.00,35.05
11280,30.00,34.97
11300,30.00,34.88
11320,30.00,32.16
11340,30.00,29.11
11360,30.00,25.87
11380,92.59,22.57
11400,156.37,19.18
11420,211.57,18.35
11440,250.90,17.93
11460,269.10,17.78
11480,263.67,17.78
11500,235.21,18.04
11520,187.38,18.88
11540,126.48,22.43
11560,60.59,25.96
11580,30.00,27.50
11600,30.00,27.23
11620,30.00,26.39
11640,30.00,22.82
11660,30.00,19.38
11680,30.00,17.76
11700,30.00,18.02
11720,88.20,18.46
11740,154.03,18.99
11760,211.11,22.44
11780,251.46,25.92
11800,269.39,29.14
11820,262.28,32.27
11840,231.02,35.31
11860,179.87,32.10
11880,115.96,28.62
11900,48.28,25.22
11920,30.00,21.84
11940,30.00,18.44
11960,30.00,18.68
11980,30.00,22.16
12000,30.00,25.73
12020,30.00,27.21
12040,47.21,28.99
12060,115.75,31.98
12080,180.64,31.91
12100,232.38,31.74
12120,263.34,33.74
12140,268.85,32.20
12160,247.99,28.69
12180,203.71,25.36
12200,142.49,21.87
12220,73.36,18.29
12240,30.00,18.04
12260,30.00,17.98
12280,30.00,17.90
12300,30.00,17.90
12320,30.00,17.99
12340,30.00,18.41
12360,34.67,21.81
12380,104.57,25.47
