time_ms,servo_deg,dist_cm
8999,30.00,1.64
9019,30.00,3.17
9039,30.00,4.70
9059,44.06,6.23
9079,96.06,7.76
9099,147.66,7.65
9119,194.45,7.65
9139,232.41,7.65
9159,258.22,7.66
9179,269.57,7.67
9199,265.40,7.60
9219,245.98,7.54
9239,212.89,7.39
9259,168.97,7.24
9279,118.01,7.01
9299,64.47,6.86
9319,30.00,6.63
9339,30.00,6.47
9359,30.00,6.31
9379,30.00,6.23
9399,30.00,6.15
9419,30.00,6.15
9439,30.00,6.15
9459,30.00,6.23
9479,39.46,6.31
9499,93.62,6.39
9519,147.55,6.55
9539,196.24,6.70
9559,235.14,6.78
9579,260.54,6.85
9600,270.00,6.85
9620,261.64,6.70
9640,237.02,6.63
9660,198.38,6.49
9680,149.32,6.52
9700,94.50,6.72
9720,39.12,7.18
9740,30.00,7.64
9760,30.00,8.10
9780,30.00,8.48
9800,30.00,8.67
9820,30.00,8.69
9840,30.00,8.61
9860,30.00,8.62
9880,30.00,8.53
9900,85.73,8.61
9920,142.15,8.69
9940,193.45,8.78
9960,234.42,8.87
9980,260.85,8.87
10000,270.00,8.80
10020,260.82,8.56
10040,234.15,8.25
10060,192.63,7.85
10080,140.45,7.55
10100,82.96,7.33
10120,30.00,7.46
10140,30.00,7.84
10160,30.00,8.31
10180,30.00,8.78
10200,30.00,9.15
10220,30.00,9.27
10240,30.00,9.13
10260,30.00,9.08
10280,60.28,8.92
10300,119.30,8.95
10320,175.27,8.87
10340,222.11,8.79
10360,254.69,8.71
10380,269.37,8.63
10400,264.46,8.29
10420,240.38,8.05
10440,199.68,7.90
10460,146.78,7.66
10480,87.48,7.60
10500,30.00,7.53
10520,30.00,7.64
10540,30.00,7.82
10560,30.00,8.09
10580,30.00,8.17
10600,30.00,8.26
10620,30.00,8.26
10640,30.00,8.18
10660,74.59,7.91
10680,135.47,7.73
10700,191.20,7.71
10720,235.29,7.69
10740,262.56,7.67
10760,269.73,7.67
10780,255.85,7.67
10800,222.45,7.59
10820,173.36,7.61
10840,114.31,7.63
10860,52.28,7.82
10880,30.00,8.09
10900,30.00,8.54
10920,30.00,8.81
10940,30.00,9.17
10960,30.00,9.25
10980,30.00,9.16
11000,30.00,8.90
11020,65.70,8.63
11040,128.71,8.18
11060,187.06,7.91
11080,233.52,7.72
11100,262.28,7.54
11120,269.67,7.54
11140,254.65,7.64
11160,219.00,7.90
11180,167.08,8.27
11200,105.36,8.80
11220,41.60,9.26
11240,30.00,9.63
11260,30.00,9.75
11280,30.00,9.86
11300,30.00,9.72
11320,30.00,9.57
11340,30.00,9.50
11360,30.00,9.51
11380,92.59,9.42
11400,156.37,9.42
11420,211.57,9.41
11440,250.90,9.42
11460,269.10,9.33
11480,263.67,9.26
11500,235.21,9.03
11520,187.38,8.71
11540,126.48,8.39
11560,60.59,8.16
11580,30.00,8.02
11600,30.00,8.04
11620,30.00,8.24
11640,30.00,8.52
11660,30.00,8.90
11680,30.00,9.18
11700,30.00,9.47
11720,88.20,9.66
11740,154.03,9.77
11760,211.11,9.78
11780,251.46,9.78
11800,269.39,9.79
11820,262.28,9.71
11840,231.02,9.64
11860,179.87,9.48
11880,115.96,9.34
11900,48.28,9.11
11920,30.00,8.96
11940,30.00,8.80
11960,30.00,8.65
11980,30.00,8.49
12000,30.00,8.42
12020,30.00,8.43
12040,47.21,8.37
12060,115.75,8.38
12080,180.64,8.37
12100,232.38,8.37
12120,263.34,8.20
12140,268.85,8.11
12160,247.99,8.11
12180,203.71,8.20
12200,142.49,8.21
12220,73.36,8.30
12240,30.00,8.49
12260,30.00,8.59
12280,30.00,8.50
12300,30.00,8.59
12320,30.00,8.58
12340,30.00,8.39
12360,34.67,8.30
12380,104.57,8.38
12400,172.32,8.27
12420,227.54,8.35
12440,261.64,8.50
12460,269.27,8.66
12480,249.12,8.64
12500,204.19,8.73
12520,141.38,8.73
12540,70.45,8.64
12560,30.00,8.57
12580,30.00,8.49
12600,30.00,8.42
12620,30.00,8.35
12640,30.00,8.35
12660,30.00,8.26
12680,49.46,8.27
12700,121.53,8.26
12720,188.64,8.33
12740,239.94,8.42
12760,267.05,8.49
12780,265.48,8.49
12800,235.35,8.50
12820,181.46,8.34
12840,112.52,8.18
12860,39.78,8.02
12880,30.00,7.94
12900,30.00,7.86
12920,30.00,7.94
12940,30.00,8.03
12960,30.00,8.19
12980,30.00,8.26
13000,92.83,8.42
13020,164.84,8.49
13040,224.34,8.63
13060,261.21,8.71
13080,269.08,8.86
13100,246.51,8.94
13120,197.20,9.01
13140,129.48,9.02
13160,54.90,8.95
13180,30.00,8.88
13200,30.00,8.72
13220,30.00,8.56
13240,30.00,8.40
13260,30.00,8.31
13280,30.00,8.24
13300,88.90,8.25
13320,162.78,8.34
13340,223.94,8.35
13360,261.53,8.36
13380,268.79,8.36
13400,244.30,8.27
13420,192.29,8.11
13440,121.93,8.11
13460,45.76,8.20
13480,30.00,8.30
13500,30.00,8.48
13520,30.00,8.66
13540,30.00,8.67
13560,30.00,8.58
13580,33.31,8.59
13600,109.87,8.59
13620,182.88,8.50
13640,238.93,8.40
13660,267.60,8.31
13680,263.49,8.12
13700,227.22,8.03
13720,165.40,8.04
13740,89.45,8.13
13760,30.00,8.23
13780,30.00,8.40
13800,30.00,8.59
13820,30.00,8.76
13840,30.00,8.94
13860,30.00,9.03
13880,76.63,9.13
13900,154.39,9.03
13920,219.96,8.86
13940,260.71,8.68
13960,268.72,8.68
13980,242.31,8.58
14000,186.45,8.68
14020,111.83,8.77
14040,32.88,8.95
14060,30.00,9.12
14080,30.00,9.31
14100,30.00,9.39
14120,30.00,9.48
14140,30.00,9.58
14160,65.13,9.50
14180,144.95,9.41
14200,213.96,9.32
14220,258.39,9.23
14240,269.28,9.13
14260,244.31,9.04
14280,188.35,9.04
14300,112.53,9.14
14320,32.07,9.33
14340,30.00,9.42
14360,30.00,9.60
14380,30.00,9.69
14400,30.00,9.69
14420,30.00,9.78
14440,75.22,9.78
14460,155.97,9.78
14480,223.23,9.78
14500,263.05,9.78
14520,267.08,9.68
14540,234.33,9.68
14560,171.50,9.68
14580,91.57,9.77
14600,30.00,9.78
14620,30.00,9.87
14640,30.00,9.98
14660,30.00,10.01
14680,30.00,9.93
14700,30.00,10.04
14720,107.06,10.14
14740,185.76,10.14
14760,244.10,10.14
14780,269.48,10.13
14800,256.34,10.02
14820,207.36,9.77
14840,132.97,9.62
14860,49.19,9.45
14880,30.00,9.32
14900,30.00,9.20
14920,30.00,9.04
14940,30.00,8.87
14960,30.00,8.90
14980,75.37,8.98
15000,158.89,9.07
15020,227.28,9.22
15040,265.34,9.37
15060,264.50,9.45
15080,224.81,9.43
15100,154.97,9.42
15120,70.51,9.43
15140,30.00,9.35
15160,30.00,9.35
15180,30.00,9.36
15200,30.00,9.36
15220,30.00,9.35
15240,62.46,9.51
15260,148.08,9.59
15280,220.52,9.76
15300,263.17,9.92
15320,266.13,10.00
15340,228.57,10.00
15360,159.01,9.91
15380,73.41,9.72
15400,30.00,9.49
15420,30.00,9.34
15440,30.00,9.18
15460,30.00,9.19
15480,30.00,9.21
15500,68.14,9.28
15520,154.82,9.43
15540,226.30,9.66
15560,265.64,9.81
15580,263.41,9.89
15600,219.97,10.04
15620,145.53,10.01
15640,57.74,9.83
15660,30.00,9.68
15680,30.00,9.61
15700,30.00,9.45
15720,30.00,9.40
15740,30.00,9.43
15760,92.56,9.43
15780,178.23,9.51
15800,242.52,9.68
15820,269.67,9.83
15840,252.90,10.00
15860,196.16,10.08
15880,113.27,10.00
15900,30.00,9.89
15920,30.00,9.70
15940,30.00,9.45
15960,30.00,9.28
15980,30.00,9.29
16000,45.23,9.24
16020,135.26,9.35
16040,214.04,9.51
16060,261.76,9.68
16080,266.29,9.68
16100,226.34,9.68
16120,151.86,9.60
16140,61.62,9.53
16160,30.00,9.37
16180,30.00,9.37
16200,30.00,9.37
16220,30.00,9.37
16240,30.00,9.35
16260,105.23,9.50
16280,191.37,9.66
16300,251.41,9.81
16320,269.72,9.96
16340,241.39,10.11
16360,173.64,10.15
16380,84.02,10.12
16400,30.00,10.12
16420,30.00,10.01
16440,30.00,9.91
16460,30.00,9.87
16480,30.00,9.83
16500,90.71,9.75
16520,180.19,9.79
16540,245.81,9.83
16560,270.00,9.75
16580,246.18,9.67
16600,180.55,9.59
16620,90.57,9.51
16640,30.00,9.36
16660,30.00,9.36
16680,30.00,9.27
16700,30.00,9.27
16720,30.00,9.27
16740,92.13,9.43
16760,182.56,9.51
16780,247.81,9.76
16800,269.93,9.93
16820,242.72,10.01
16840,173.49,9.92
16860,81.17,9.92
16880,30.00,9.68
16900,30.00,9.45
16920,30.00,9.21
16940,30.00,9.14
16960,30.00,9.07
16980,109.47,9.16
17000,198.08,9.32
17020,256.45,9.47
17040,268.07,9.54
17060,229.52,9.53
17080,151.52,9.51
17100,56.02,9.42
17120,30.00,9.43
17140,30.00,9.44
17160,30.00,9.44
17180,30.00,9.45
17200,45.68,9.45
