time_s,servo_deg,dist_cm
0,30,3.94
0.02,30,7.7
0.04,30,11.64
0.06,44.06,15.49
0.08,96.06,19.26
0.1,147.66,19.08
0.12,194.45,19.09
0.14,232.41,18.92
0.16,258.22,18.83
0.18,269.57,18.83
0.2,265.4,18.92
0.22,245.98,19
0.24,212.89,19.08
0.26,168.97,19.17
0.28,118.01,19.42
0.3,64.47,19.51
0.32,30,19.6
0.34,30,19.68
0.36,30,19.85
0.38,30,19.85
0.4,30,19.76
0.42,30,19.67
0.44,30,19.68
0.46,30,19.6
0.48,39.46,19.43
0.5,93.62,19.43
0.52,147.55,19.35
0.54,196.24,19.26
0.56,235.14,19.09
0.58,260.54,19.08
0.601,270,19
0.621,261.64,19.08
0.641,237.02,19.08
0.661,198.38,19.16
0.681,149.32,19.16
0.701,94.5,19.24
0.721,39.12,19.33
0.741,30,19.34
0.761,30,19.35
0.781,30,19.35
0.801,30,19.35
0.821,30,19.26
0.841,30,19.17
0.861,30,19.26
0.881,30,19.26
0.901,85.73,19.27
0.921,142.15,19.18
0.941,193.45,19.18
0.961,234.42,19.01
0.981,260.85,18.92
1.001,270,18.92
1.021,260.82,18.92
1.041,234.15,18.9
1.061,192.63,18.87
1.081,140.45,18.84
1.101,82.96,18.81
1.121,30,18.95
1.141,30,18.94
1.161,30,19.08
1.181,30,19.17
1.201,30,19.17
1.221,30,19
1.241,30,19.09
1.261,30,19.04
1.281,60.28,19.04
1.301,119.3,19.27
1.321,175.27,19.27
1.341,222.11,19.19
1.361,254.69,19.07
1.381,269.37,18.99
1.401,264.46,18.75
1.421,240.38,18.75
1.441,199.68,18.75
1.461,146.78,18.86
1.481,87.48,18.94
1.501,30,19.09
1.521,30,19.27
1.541,30,19.27
1.561,30,19.33
1.581,30,19.41
1.601,30,19.27
1.621,30,19.18
1.641,30,19.35
1.661,74.59,19.38
1.681,135.47,19.21
1.701,191.2,19.21
1.721,235.29,19.21
1.741,262.56,19.13
1.761,269.73,19.01
1.781,255.85,19.09
1.801,222.45,19.09
1.821,173.36,19.09
1.841,114.31,19.09
1.861,52.28,19.11
1.881,30,19.02
1.901,30,19.1
1.921,30,19.19
1.941,30,19.19
1.961,30,19.08
1.981,30,19.09
2.001,30,19.09
2.021,65.7,19.01
2.041,128.71,19.01
2.061,187.06,19.12
2.081,233.52,19.2
2.101,262.28,19.12
2.121,269.67,19.11
2.141,254.65,19.11
2.161,219,19.08
2.181,167.08,19.08
2.201,105.36,19.08
2.221,41.6,19.08
2.241,30,19.17
2.261,30,19.2
2.281,30,19.28
2.301,30,19.37
2.321,30,19.37
2.341,30,19.28
2.361,30,19.43
2.381,92.59,19.43
2.401,156.37,19.27
2.421,211.57,19.18
2.441,250.9,19.18
2.461,269.1,19.04
2.481,263.67,18.95
2.501,235.21,18.95
2.521,187.38,19.03
2.541,126.48,18.95
2.561,60.59,18.84
2.581,30,18.93
2.601,30,19.02
2.621,30,19.1
2.641,30,19.27
2.661,30,19.46
2.681,30,19.37
2.701,30,19.37
2.721,88.2,19.46
2.741,154.03,19.3
2.761,211.11,19.18
2.781,251.46,19.18
2.801,269.39,19.19
2.821,262.28,19.01
2.841,231.02,19.09
2.861,179.87,19.12
2.881,115.96,19.12
2.901,48.28,19.12
2.921,30,19.38
2.941,30,19.46
2.961,30,19.52
2.981,30,19.52
3.001,30,19.52
3.021,30,19.27
3.041,47.21,19.27
3.061,115.75,19.21
3.081,180.64,19.21
3.101,232.38,19.12
3.121,263.34,19.03
3.141,268.85,18.86
3.161,247.99,18.75
3.181,203.71,18.76
3.201,142.49,18.76
3.221,73.36,18.76
3.241,30,19.02
3.261,30,19.04
3.281,30,19.12
3.301,30,19.19
3.321,30,19.36
3.341,30,19.28
3.361,34.67,19.28
3.381,104.57,19.37
3.401,172.32,19.3
3.421,227.54,19.13
3.441,261.64,19.04
3.461,269.27,19.04
3.481,249.12,18.79
3.501,204.19,18.87
3.521,141.38,18.87
3.541,70.45,18.87
3.561,30,18.92
3.581,30,19.09
3.601,30,19.17
3.621,30,19.35
3.641,30,19.26
3.661,30,19.29
3.681,49.46,19.2
3.701,121.53,19.03
3.721,188.64,18.95
3.741,239.94,19.04
3.761,267.05,18.95
3.781,265.48,18.87
3.801,235.35,18.95
3.821,181.46,18.95
3.841,112.52,18.86
3.861,39.78,18.95
3.881,30,18.94
3.901,30,18.93
3.921,30,19.1
3.941,30,19.19
3.961,30,19.25
3.981,30,19.34
4.001,92.83,19.35
4.021,164.84,19.17
4.041,224.34,19.17
4.061,261.21,19.12
4.081,269.08,19.12
4.101,246.51,19.12
4.121,197.2,19.12
4.141,129.48,19.03
4.161,54.9,19.03
4.181,30,19.37
4.201,30,19.29
4.221,30,19.28
4.241,30,19.45
4.261,30,19.54
4.281,30,19.19
4.301,88.9,19.28
4.321,162.78,19.2
4.341,223.94,19.12
4.361,261.53,18.95
4.381,268.79,18.86
4.401,244.3,18.87
4.421,192.29,18.95
4.441,121.93,18.87
4.461,45.76,18.87
4.481,30,19.13
4.501,30,19.04
4.521,30,19.12
4.541,30,19.2
4.561,30,19.29
4.581,33.31,19.12
4.601,109.87,19.47
4.621,182.88,19.29
4.641,238.93,19.29
4.661,267.6,19.2
4.681,263.49,19.12
4.701,227.22,18.78
4.721,165.4,18.87
4.741,89.45,18.79
4.761,30,18.79
4.781,30,18.95
4.801,30,19.12
4.821,30,19.18
4.841,30,19.35
4.861,30,19.52
4.881,76.63,19.52
4.901,154.39,19.36
4.921,219.96,19.21
4.941,260.71,19.04
4.961,268.72,18.87
4.981,242.31,18.7
5.001,186.45,18.7
5.021,111.83,18.67
5.041,32.88,18.76
5.061,30,18.84
5.081,30,19.01
5.101,30,19.18
5.121,30,19.19
5.141,30,19.2
5.161,65.13,19.27
5.181,144.95,19.19
5.201,213.96,19.11
5.221,258.39,19.17
5.241,269.28,19.17
5.261,244.31,19.09
5.281,188.35,19.09
5.301,112.53,19.09
5.321,32.07,19.11
5.341,30,19.19
5.361,30,19.43
5.381,30,19.6
5.401,30,19.68
5.421,30,19.66
5.441,75.22,19.75
5.461,155.97,19.44
5.481,223.23,19.27
5.501,263.05,19.1
5.521,267.08,19.13
5.541,234.33,18.95
5.561,171.5,18.95
5.581,91.57,18.94
5.601,30,18.94
5.621,30,19.01
5.641,30,19.01
5.661,30,19.18
5.681,30,19.18
5.701,30,19.26
5.721,107.06,19.29
5.741,185.76,19.21
5.761,244.1,19.12
5.781,269.48,19.12
5.801,256.34,19.12
5.821,207.36,19.01
5.841,132.97,19.01
5.862,45.08,19
5.882,30,19.27
5.902,30,19.27
5.922,30,19.38
5.942,30,19.55
5.962,30,19.55
5.982,79.62,19.38
6.002,162.81,19.29
6.022,230,19.18
6.042,266.26,19.09
6.063,262.2,19.01
6.083,218.97,18.83
6.105,138.67,18.92
6.125,53.52,18.94
6.145,30,19.04
6.165,30,19.04
6.185,30,19.21
6.205,30,19.21
6.225,30,19.27
6.245,79.71,19.18
6.265,164.22,19.18
6.285,231.87,19.09
6.305,267.11,19
6.326,260.36,18.86
6.346,213.67,18.78
6.367,134.15,18.85
6.388,43.29,18.86
6.408,30,18.95
6.428,30,19.04
6.448,30,19.1
6.468,30,19.11
6.489,30,19.26
6.509,103.35,19.35
6.529,186.31,19.26
6.549,246.63,19.19
6.569,269.95,19.11
6.59,248.56,18.87
6.61,189.38,18.7
6.631,102.01,18.79
6.652,30,18.87
6.672,30,19.04
6.692,30,19.21
6.712,30,19.27
6.732,30,19.27
6.752,52.52,19.33
6.772,141.14,19.25
6.792,217.42,19.16
6.812,262.73,19.18
6.833,264.87,19.18
6.854,219.88,19.06
6.875,139.76,19.01
6.895,50.45,19.01
6.916,30,19.11
6.936,30,18.97
6.956,30,18.94
6.976,30,19.03
6.996,30,19.12
7.016,112.93,19.02
7.036,196.58,19.1
7.056,253.57,19.18
7.076,269.47,19.1
7.097,237.56,18.96
7.118,164.56,18.96
7.139,70.7,19.01
7.159,30,19.01
7.179,30,19.04
7.199,30,19.17
7.219,30,19.14
7.239,30,19.23
7.259,96.01,19.23
7.279,183.6,19.17
7.3,249.31,19
7.32,269.92,19.03
7.34,243.85,18.86
7.36,177.74,18.78
7.381,84.02,18.84
7.401,30,18.84
7.421,30,18.99
7.441,30,19.07
7.461,30,19.24
7.481,30,19.27
7.501,90.71,19.35
7.521,180.19,19.2
7.541,245.81,19.12
7.561,270,19.03
7.582,243.79,19.02
7.603,172.29,19.19
7.623,81.14,19.19
7.644,30,19.26
7.664,30,19.25
7.684,30,19.24
7.704,30,19.06
7.724,30,19.07
7.744,106.36,19.01
7.764,194.49,18.93
7.784,254.18,18.86
7.804,268.97,18.78
7.825,231.77,18.78
7.846,151.64,18.76
7.867,52.74,18.76
7.887,30,18.81
7.907,30,18.9
7.927,30,18.9
7.947,30,18.92
7.967,42.65,19.18
7.987,137.84,19.39
8.007,219.73,19.3
8.027,265.28,19.22
8.048,260.03,19.2
8.069,202.02,18.94
8.089,113.94,18.68
8.111,30,18.74
8.131,30,18.83
8.151,30,18.9
8.171,30,19.07
8.191,30,19.16
8.211,94.01,19.18
8.231,186.39,19.1
8.251,251.1,19.04
8.271,269.4,18.87
8.291,235.85,18.78
8.312,155.46,18.76
8.333,54.07,18.84
8.353,30,19.07
8.373,30,19.07
8.393,30,19.24
8.413,30,19.26
8.433,53.87,19.44
8.453,151.3,19.2
8.473,230.74,19.2
8.493,268.66,19.04
8.514,251.55,18.95
8.534,185.92,18.72
8.555,86.7,18.81
8.575,30,18.94
8.595,30,18.97
8.615,30,18.98
8.635,30,19.07
8.655,30,19.03
8.675,126.79,19.1
8.695,214.38,19.11
8.716,265.57,19.1
8.736,259.94,18.97
8.757,198.65,18.97
8.778,100.89,18.83
8.799,30,18.79
8.819,30,18.79
8.839,30,18.87
8.859,30,19.01
8.879,30,18.94
8.899,125.13,18.95
8.919,214.04,19.04
8.939,264.58,19.04
8.959,260.91,18.95
8.981,195.94,19.04
9.001,101.3,19.04
9.022,30,19.03
9.042,30,19.19
9.062,30,19.19
9.082,30,19.16
9.102,30.9,19.24
9.122,132.03,19.24
9.142,219.93,19.01
9.162,266.66,18.92
9.184,253.14,18.95
9.204,185.9,18.95
9.225,82.77,18.95
9.245,30,19.01
9.265,30,19.1
9.285,30,19.07
9.305,30,19.07
9.325,49.74,19.25
9.345,151.97,19.18
9.365,234.2,19.18
9.385,269.64,19.21
9.406,243.98,19.21
9.426,167.79,19.03
9.448,55.77,19.11
9.468,30,19.12
9.488,30,21.1
9.508,30,21.02
9.528,30,21.1
9.548,82.8,21.08
9.568,183.13,21.07
9.588,252.66,19.09
9.608,268.17,19.09
9.628,224.32,19
9.65,125.29,18.94
9.67,30,18.94
9.69,30,18.94
9.71,30,18.92
9.73,30,18.92
9.75,30,18.9
9.77,124.43,18.82
9.79,217,18.73
9.81,266.55,18.76
9.832,251.69,18.75
9.852,179.94,18.86
9.873,72.09,18.86
9.893,30,18.94
9.913,30,19.03
9.933,30,19.03
9.953,30,19.03
9.973,78.09,19.2
9.993,181.11,19.2
10.013,252.66,19.18
10.034,266.9,19.09
10.054,217.39,19.09
10.075,118.12,18.86
10.096,30,18.73
10.116,30,18.57
10.136,30,18.56
10.156,30,18.43
10.176,43.46,18.39
10.196,150.31,18.7
10.216,235.95,18.72
10.236,269.96,18.74
10.257,237.07,18.79
10.277,151.81,18.83
10.299,33.98,18.56
10.319,30,18.55
10.339,30,18.64
10.359,30,18.72
10.379,30,18.86
10.399,128.6,18.95
10.419,222.37,19.18
10.439,268.39,19.16
10.46,247.27,19.16
10.48,168.42,19.07
10.502,50.18,18.99
10.522,30,19.02
10.543,30,19.04
10.563,30,18.88
10.583,30,18.96
10.603,123.06,18.96
10.623,219.27,18.78
10.643,267.91,18.78
10.663,250.89,18.86
10.683,174.34,18.78
10.704,60.95,18.84
10.724,30,18.84
10.744,30,18.84
10.764,30,19.01
10.784,30,19.18
10.804,112.29,19.29
10.824,212.26,19.29
10.845,267.41,19.29
10.865,251.76,19.2
10.886,170.08,19.13
10.907,55.06,19.02
10.927,30,19.1
10.947,30,19.33
10.967,30,19.5
10.987,30,19.49
