time_s,servo_deg,dist_cm
5.001,186.45,34.08
5.021,111.83,34.25
5.041,32.88,31.44
5.061,30,28.37
5.081,30,25.31
5.101,30,22.16
5.121,30,18.92
5.141,30,18.66
5.161,65.13,18.72
5.181,144.95,18.89
5.201,213.96,19.15
5.221,258.39,19.4
5.241,269.28,19.66
5.261,244.31,19.77
5.281,188.35,19.86
5.301,112.53,19.77
5.321,32.07,19.51
5.341,30,19.26
5.361,30,19
5.381,30,18.74
5.401,30,18.57
5.421,30,18.74
5.441,75.22,22.23
5.461,155.97,25.47
5.481,223.23,28.54
5.501,263.05,31.61
5.521,267.08,34.51
5.541,234.33,34.09
5.561,171.5,34.17
5.581,91.57,34.51
5.601,30,31.69
5.621,30,28.63
5.641,30,25.55
5.661,30,22.32
5.681,30,18.91
5.701,30,19
5.721,107.06,22.67
5.741,185.76,22.92
5.761,244.1,26.24
5.781,269.48,29.48
5.801,256.34,32.29
5.821,207.36,31.77
5.842,128.85,31.77
5.863,40.99,28.63
5.883,30,25.65
5.903,30,22.41
5.923,30,19.26
5.943,30,19.18
5.963,30,19.32
5.983,83.88,22.56
6.003,166.69,22.91
6.023,232.65,23.14
6.043,267.07,23.22
6.064,260.9,23.16
6.084,215.94,19.92
6.106,134.52,19.83
6.126,49.31,19.52
6.146,30,19.26
6.166,30,18.92
6.186,30,18.58
6.206,30,18.41
6.226,30,18.56
6.246,84.04,18.73
6.266,168.15,18.99
6.286,234.5,22.64
6.306,267.83,25.88
6.327,258.9,29.31
6.347,210.46,32.45
6.368,129.9,35.86
6.389,39.08,36.03
6.409,30,33.22
6.429,30,33.47
6.449,30,33.1
6.469,30,33.36
6.489,30,33.42
6.509,103.35,36.32
6.529,186.31,35.82
6.549,246.63,35.93
6.57,270,35.16
6.591,246.41,34.42
6.611,185.65,34.17
6.632,97.58,31.1
6.652,30,27.93
6.672,30,24.77
6.692,30,21.62
6.712,30,18.39
6.732,30,18.05
6.752,52.52,18.08
6.772,141.14,17.99
6.792,217.42,17.9
6.812,262.73,17.9
6.833,264.87,17.9
6.854,219.88,17.81
6.875,139.76,17.76
6.895,50.45,17.71
6.916,30,17.67
6.936,30,17.7
6.956,30,17.7
6.976,30,17.78
6.996,30,18.18
7.016,112.93,21.76
7.036,196.58,25.07
7.056,253.57,28.26
7.076,269.47,31.42
7.097,237.56,34.26
7.118,164.56,34.06
7.139,70.7,34.21
7.159,30,34.69
7.179,30,34.9
7.199,30,35.38
7.219,30,35.69
7.239,30,35.85
7.259,96.01,35.79
7.279,183.6,35.8
7.3,249.31,35.46
7.32,269.92,35.12
7.34,243.85,34.79
7.36,177.74,34.68
7.381,84.02,34.77
7.401,30,34.93
7.421,30,35.11
7.441,30,35.36
7.461,30,35.44
7.481,30,35.6
7.501,90.71,35.78
7.521,180.19,32.89
7.541,245.81,29.92
7.561,270,29.67
7.582,243.79,29.25
7.603,172.29,28.82
7.623,81.14,31.54
7.644,30,34.42
7.664,30,34.59
7.684,30,34.93
7.704,30,35.34
7.724,30,35.6
7.744,106.36,35.6
7.764,194.49,35.35
7.784,254.18,35.01
7.804,268.97,34.52
7.825,231.77,34.18
7.846,151.64,33.93
7.867,52.74,33.93
7.887,30,34.28
7.907,30,34.53
7.927,30,34.87
7.947,30,35.38
7.967,42.65,35.63
7.987,137.84,35.37
8.007,219.73,35.38
8.027,265.28,35.12
8.048,260.03,34.78
8.069,202.02,34.78
8.089,113.94,34.87
8.111,30,35.03
8.131,30,35.46
8.151,30,35.68
8.171,30,35.67
8.191,30,35.92
8.211,94.01,33.1
8.231,186.39,29.79
8.251,251.1,26.51
8.271,269.4,23.37
8.291,235.85,20.07
8.312,155.46,19.73
8.333,54.07,22.79
8.353,30,26.24
8.373,30,29.47
8.393,30,32.69
8.413,30,35.85
8.433,53.87,36.1
8.453,151.3,35.86
8.473,230.74,35.87
8.493,268.66,35.79
8.514,251.55,35.72
8.534,185.92,35.58
8.555,86.7,35.61
8.575,30,35.5
8.595,30,35.31
8.615,30,35.36
8.635,30,32.22
8.655,30,28.99
8.675,126.79,25.91
8.695,214.38,22.83
8.716,265.57,19.52
8.736,259.94,19.15
8.757,198.65,18.72
8.778,100.89,18.34
8.799,30,18.14
8.819,30,18.22
8.839,30,18.13
8.859,30,18.19
8.879,30,18.19
8.899,125.13,18.36
8.919,214.04,18.21
8.939,264.58,18.12
8.959,260.91,18.04
8.981,195.94,18.01
9.001,101.3,17.84
9.022,30,17.93
9.042,30,18.1
9.062,30,18.44
9.082,30,18.8
9.102,30.9,19.24
9.122,132.03,19.81
9.142,219.93,20.07
9.162,266.66,23.21
9.184,253.14,26.12
9.204,185.9,28.92
9.225,82.77,31.31
9.245,30,34.11
9.265,30,34.03
9.285,30,30.99
9.305,30,27.92
9.325,49.74,24.85
9.345,151.97,21.7
9.365,234.2,18.37
9.385,269.64,18.07
9.406,243.98,17.81
9.426,167.79,17.56
9.448,55.77,17.48
9.468,30,17.4
9.488,30,17.4
9.508,30,17.41
9.528,30,17.41
9.548,82.8,17.41
9.568,183.13,17.48
9.588,252.66,17.65
9.608,268.17,17.89
9.628,224.32,18.4
9.65,125.29,22.07
9.67,30,25.73
9.69,30,29.22
9.71,30,32.54
9.73,30,35.6
9.75,30,35.82
9.77,124.43,36
9.79,217,35.92
9.81,266.55,33.12
9.832,251.69,29.99
9.852,179.94,26.54
9.873,72.09,23.05
9.893,30,20.08
9.913,30,20.06
9.933,30,23.2
9.953,30,26.35
9.973,78.09,29.41
9.993,181.11,32.2
10.013,252.66,34.88
10.034,266.9,34.7
10.054,217.39,34.47
10.075,118.12,34.41
10.095,30,34.57
10.116,30,34.7
10.136,30,34.93
10.156,30,35.36
10.176,43.46,35.49
10.196,150.31,35.28
10.216,235.95,35.08
10.236,269.96,34.84
10.257,237.07,34.5
10.277,151.81,34.63
10.299,33.98,34.94
10.319,30,35.24
10.339,30,35.83
10.359,30,36.22
10.379,30,36.26
10.399,128.6,33.29
10.419,222.37,32.81
10.439,268.39,29.41
10.46,247.27,26.02
10.48,168.42,22.72
10.502,50.18,22.47
10.522,30,19.73
10.543,30,19.41
10.563,30,19.23
10.583,30,19.31
10.603,123.06,19.23
10.623,219.27,18.97
10.643,267.91,18.89
10.663,250.89,18.8
10.683,174.34,18.54
10.704,60.95,18.45
10.724,30,18.88
10.744,30,19.05
10.764,30,19.48
10.784,30,22.8
10.804,112.29,26.03
10.824,212.26,28.75
10.845,267.41,31.72
10.865,251.76,34.44
10.886,170.08,34.18
10.907,55.06,34.08
10.927,30,34.33
10.947,30,34.5
10.967,30,34.76
10.987,30,35.27
