time_s,servo_deg,dist_cm
0,30,3.87
0.02,30,7.3
0.04,30,10.81
0.06,44.06,14.33
0.08,96.06,17.94
0.1,147.66,17.67
0.12,194.45,18.01
0.14,232.41,18.27
0.16,258.22,18.53
0.18,269.57,18.87
0.2,265.4,19.55
0.22,245.98,22.88
0.24,212.89,26.12
0.26,168.97,29.42
0.28,118.01,32.5
0.3,64.47,35.23
0.32,30,31.96
0.34,30,28.79
0.36,30,25.55
0.38,30,25.55
0.4,30,25.55
0.42,30,28.72
0.44,30,31.9
0.46,30,35.08
0.48,39.46,35.09
0.5,93.62,32.03
0.52,147.55,28.69
0.54,196.24,25.19
0.56,235.14,21.52
0.58,260.54,18.01
0.601,270,17.75
0.621,261.64,17.84
0.641,237.02,18.67
0.661,198.38,22.34
0.681,149.32,25.84
0.701,94.5,29.06
0.721,39.12,28.96
0.741,30,27.86
0.761,30,24.27
0.781,30,20.51
0.801,30,16.86
0.821,30,16.62
0.841,30,16.8
0.861,30,16.9
0.881,30,17.25
0.901,85.73,17.85
0.921,142.15,18.28
0.941,193.45,18.79
0.961,234.42,19.63
0.981,260.85,23.21
1.001,270,26.5
1.021,260.82,26.54
1.041,234.15,26.08
1.061,192.63,25.11
1.081,140.45,21.42
1.101,82.96,18.15
1.121,30,21.64
1.141,30,21.89
1.161,30,22.06
1.181,30,21.97
1.201,30,21.57
1.221,30,17.84
1.241,30,17.94
1.261,30,18.38
1.281,60.28,19.06
1.301,119.3,19.89
1.321,175.27,20.23
1.341,222.11,20.4
1.361,254.69,20.39
1.381,269.37,20.57
1.401,264.46,20.25
1.421,240.38,20.25
1.441,199.68,20.25
1.461,146.78,20.25
1.481,87.48,19.99
1.501,30,20.05
1.521,30,19.88
1.541,30,19.62
1.561,30,19.28
1.581,30,18.86
1.601,30,18.37
1.621,30,18.12
1.641,30,17.94
1.661,74.59,17.94
1.681,135.47,21.58
1.701,191.2,25.14
1.721,235.29,28.7
1.741,262.56,32.43
1.761,269.73,35.91
1.781,255.85,35.83
1.801,222.45,35.83
1.821,173.36,32.6
1.841,114.31,28.86
1.861,52.28,25.3
1.881,30,21.56
1.901,30,18
1.921,30,17.59
1.941,30,17.6
1.961,30,17.75
1.981,30,18.11
2.001,30,18.46
2.021,65.7,18.8
2.041,128.71,18.97
2.061,187.06,19.08
2.081,233.52,19.17
2.101,262.28,19.13
2.121,269.67,19.47
2.141,254.65,19.98
2.161,219,23.27
2.181,167.08,26.48
2.201,105.36,29.64
2.221,41.6,32.51
2.241,30,35.21
2.261,30,35.05
2.281,30,34.97
2.301,30,34.88
2.321,30,32.16
2.341,30,29.11
2.361,30,25.87
2.381,92.59,22.57
2.401,156.37,19.18
2.421,211.57,18.35
2.441,250.9,17.93
2.461,269.1,17.78
2.481,263.67,17.78
2.501,235.21,18.04
2.521,187.38,18.88
2.541,126.48,22.43
2.561,60.59,25.96
2.581,30,27.5
2.601,30,27.23
2.621,30,26.39
2.641,30,22.82
2.661,30,19.38
2.681,30,17.76
2.701,30,18.02
2.721,88.2,18.46
2.741,154.03,18.99
2.761,211.11,22.44
2.781,251.46,25.92
2.801,269.39,29.14
2.821,262.28,32.27
2.841,231.02,35.31
2.861,179.87,32.1
2.881,115.96,28.62
2.901,48.28,25.22
2.921,30,21.84
2.941,30,18.44
2.961,30,18.68
2.981,30,22.16
3.001,30,25.73
3.021,30,27.21
3.041,47.21,28.99
3.061,115.75,31.98
3.081,180.64,31.91
3.101,232.38,31.74
3.121,263.34,33.74
3.141,268.85,32.2
3.161,247.99,28.69
3.181,203.71,25.36
3.201,142.49,21.87
3.221,73.36,18.29
3.241,30,18.04
3.261,30,17.98
3.281,30,17.9
3.301,30,17.9
3.321,30,17.99
3.341,30,18.41
3.361,34.67,21.81
3.381,104.57,25.47
3.401,172.32,26.31
3.421,227.54,26.58
3.441,261.64,26.09
3.461,269.27,22.69
3.481,249.12,19.13
3.501,204.19,18.28
3.521,141.38,17.93
3.541,70.45,17.91
3.561,30,17.98
3.581,30,17.88
3.601,30,17.97
3.621,30,17.98
3.641,30,18.06
3.661,30,18.07
3.681,49.46,18.32
3.701,121.53,18.58
3.721,188.64,19.01
3.741,239.94,19.27
3.761,267.05,19.25
3.781,265.48,19.17
3.801,235.35,18.82
3.821,181.46,18.41
3.841,112.52,18.15
3.861,39.78,18.09
3.881,30,18.02
3.901,30,18.2
3.921,30,18.36
3.941,30,18.45
3.961,30,18.6
3.981,30,18.59
4.001,92.83,18.6
4.021,164.84,18.35
4.041,224.34,18.18
4.061,261.21,18.03
4.081,269.08,17.95
4.101,246.51,17.77
4.121,197.2,17.85
4.141,129.48,17.85
4.161,54.9,17.85
4.181,30,18.2
4.201,30,18.21
4.221,30,18.29
4.241,30,18.38
4.261,30,18.46
4.281,30,18.2
4.301,88.9,18.46
4.321,162.78,18.29
4.341,223.94,18.29
4.361,261.53,18.21
4.381,268.79,18.12
4.401,244.3,17.86
4.421,192.29,17.95
4.441,121.93,17.95
4.461,45.76,18.37
4.481,30,18.48
4.501,30,18.9
4.521,30,22.63
4.541,30,23.49
4.561,30,26.86
4.581,33.31,30.41
4.601,109.87,33.57
4.621,182.88,30.26
4.641,238.93,30.14
4.661,267.6,29.66
4.681,263.49,29.32
4.701,227.22,28.97
4.721,165.4,31.78
4.741,89.45,34.26
4.761,30,34.42
4.781,30,34.67
4.801,30,35.26
4.821,30,35.76
4.841,30,36.52
4.861,30,36.7
4.881,76.63,36.79
4.901,154.39,36.2
4.921,219.96,35.7
4.941,260.71,34.86
4.961,268.72,34.43
4.981,242.31,33.99
