time_s,servo_deg,dist_cm
0,30,3.95
0.02,30,7.72
0.04,30,11.49
0.06,44.06,15.26
0.08,96.06,19.11
0.1,147.66,19.01
0.12,194.45,19.01
0.14,232.41,19.27
0.16,258.22,19.61
0.18,269.57,19.87
0.2,265.4,23.13
0.22,245.98,26.52
0.24,212.89,29.68
0.26,168.97,32.81
0.28,118.01,35.9
0.3,64.47,35.82
0.32,30,35.51
0.34,30,35.26
0.36,30,32.28
0.38,30,28.94
0.4,30,25.6
0.42,30,22.43
0.44,30,19.1
0.46,30,18.33
0.48,39.46,17.99
0.5,93.62,17.9
0.52,147.55,17.81
0.54,196.24,17.88
0.56,235.14,18.05
0.58,260.54,18.12
0.601,270,18.03
0.621,261.64,17.95
0.641,237.02,17.7
0.661,198.38,17.63
0.681,149.32,17.64
0.701,94.5,17.99
0.721,39.12,21.6
0.741,30,24.86
0.761,30,25.36
0.781,30,25.61
0.801,30,25.51
0.821,30,22.41
0.841,30,22.74
0.861,30,25.42
0.881,30,28.52
0.901,85.73,31.62
0.921,142.15,34.46
0.941,193.45,34.46
0.961,234.42,34.68
0.981,260.85,34.75
1.001,270,34.8
1.021,260.82,34.95
1.041,234.15,34.74
1.061,192.63,34.55
1.081,140.45,31.35
1.101,82.96,28.07
1.121,30,24.9
1.141,30,21.57
1.161,30,18.25
1.181,30,17.91
1.201,30,17.75
1.221,30,17.49
1.241,30,17.57
1.261,30,17.74
1.281,60.28,17.99
1.301,119.3,18.4
1.321,175.27,18.74
1.341,222.11,19.09
1.361,254.69,19.34
1.381,269.37,19.43
1.401,264.46,19.28
1.421,240.38,19.12
1.441,199.68,18.87
1.461,146.78,18.53
1.481,87.48,18.19
1.501,30,18.02
1.521,30,17.85
1.541,30,17.76
1.561,30,17.75
1.581,30,17.74
1.601,30,17.74
1.621,30,17.91
1.641,30,18.16
1.661,74.59,21.49
1.681,135.47,24.98
1.701,191.2,28.39
1.721,235.29,31.71
1.741,262.56,35.03
1.761,269.73,35.11
1.781,255.85,35.03
1.801,222.45,31.97
1.821,173.36,28.55
1.841,114.31,25.06
1.861,52.28,21.67
1.881,30,18.35
1.901,30,18.42
1.921,30,21.75
1.941,30,24.98
1.961,30,28.32
1.981,30,31.65
2.001,30,34.56
2.021,65.7,34.56
2.041,128.71,34.47
2.061,187.06,34.44
2.081,233.52,34.43
2.101,262.28,34.34
2.121,269.67,31.1
2.141,254.65,27.86
